ad_id,ad_name,adset_id,adset_name,campaign_id,campaign_name,clicks,date_start,date_stop,impressions,spend,adid_date
120209290034100776,No More... Signs | Probiotics | 7DC1DV | PDP | India | MF | Shop Now,120209288674790776,P | BROAD | STATIC |  P+P & GUT HEALTH | INDIA | 7DC1DV | MF | AUTO,120209288674630776,ABO | TESTING | STATIC | 21.5.24,5,2024-05-21,2024-05-21,848,18.99,1202092900341007762024-05-21
120209290034100776,No More... Signs | Probiotics | 7DC1DV | PDP | India | MF | Shop Now,120209288674790776,P | BROAD | STATIC |  P+P & GUT HEALTH | INDIA | 7DC1DV | MF | AUTO,120209288674630776,ABO | TESTING | STATIC | 21.5.24,0,2024-05-22,2024-05-22,16,4.92,1202092900341007762024-05-22
